port1,port2,cnt,start_lat,start_lon,end_lat,end_lon,text
"Aqaba,Jordan","Puerto Manzanillo,Panama",3,29.5320522,35.0063209,9.3651477,-79.88115140000001,"From Aqaba,Jordan to Puerto Manzanillo,Panama"
"Aqaba,Jordan","Sao Paulo,Brazil",1,29.5320522,35.0063209,-23.550519899999998,-46.63330939999999,"From Aqaba,Jordan to Sao Paulo,Brazil"
"Aqaba,Jordan","Veracruz,Mexico",1,29.5320522,35.0063209,19.173773,-96.1342241,"From Aqaba,Jordan to Veracruz,Mexico"
"Aratu,Brazil","Zeebrugge,Belgium",2,-12.776480000000001,-38.498110700000005,51.3189468,3.2068507,"From Aratu,Brazil to Zeebrugge,Belgium"
"Arawak Cay,Bahamas","Philipsburgh,Netherland Antilles",1,25.0826605,-77.36043719999998,18.0295839,-63.04713709999999,"From Arawak Cay,Bahamas to Philipsburgh,Netherland Antilles"
"Arawak Cay,Bahamas","ST. Thomas,Virgin Islands",3,25.0826605,-77.36043719999998,18.3380965,-64.8940946,"From Arawak Cay,Bahamas to ST. Thomas,Virgin Islands"
"Arica,Chile","Balboa,Panama",1,-18.4782534,-70.3125988,8.9613962,-79.5631537,"From Arica,Chile to Balboa,Panama"
"Ashdod,Israel","Port Bustamante,Jamaica",22,31.804381,34.655314000000004,17.9881695,-76.83894129999999,"From Ashdod,Israel to Port Bustamante,Jamaica"
"Ashdod,Israel","Salalah,Oman",1,31.804381,34.655314000000004,17.0506675,54.1065864,"From Ashdod,Israel to Salalah,Oman"
"Ashdod,Israel","Tanjung Pelepas,Malaysia",2,31.804381,34.655314000000004,1.3621673,103.5533946,"From Ashdod,Israel to Tanjung Pelepas,Malaysia"
"Ashdod,Israel","Veracruz,Mexico",1,31.804381,34.655314000000004,19.173773,-96.1342241,"From Ashdod,Israel to Veracruz,Mexico"
"Asuncion,Paraguay","Veracruz,Mexico",2,-25.263739899999997,-57.57592599999999,19.173773,-96.1342241,"From Asuncion,Paraguay to Veracruz,Mexico"
"Auckland,New Zealand","Auckland,New Zealand",1,-36.8484597,174.7633315,-36.8484597,174.7633315,"From Auckland,New Zealand to Auckland,New Zealand"
"Auckland,New Zealand","Bremerhaven,Federal Republic of Germany",3,-36.8484597,174.7633315,53.5395845,8.580942499999999,"From Auckland,New Zealand to Bremerhaven,Federal Republic of Germany"
"Auckland,New Zealand","Manzanillo,Mexico",330,-36.8484597,174.7633315,19.113809399999997,-104.33846159999999,"From Auckland,New Zealand to Manzanillo,Mexico"
"Auckland,New Zealand","Singapore,Singapore",1,-36.8484597,174.7633315,1.352083,103.819836,"From Auckland,New Zealand to Singapore,Singapore"
"Auckland,New Zealand","Vancouver, BC ,Canada",105,-36.8484597,174.7633315,49.282729100000005,-123.1207375,"From Auckland,New Zealand to Vancouver, BC ,Canada"
"Auckland,New Zealand","Zeebrugge,Belgium",3,-36.8484597,174.7633315,51.3189468,3.2068507,"From Auckland,New Zealand to Zeebrugge,Belgium"
"Baja California Sur,Mexico","Nagoya Ko ,Japan",1,26.044444600000002,-111.66607250000001,35.091814500000005,136.8801169,"From Baja California Sur,Mexico to Nagoya Ko ,Japan"
"Baja California Sur,Mexico","Port Swettenham,Malaysia",27,26.044444600000002,-111.66607250000001,2.999852,101.39283,"From Baja California Sur,Mexico to Port Swettenham,Malaysia"
"Baja California Sur,Mexico","Singapore,Singapore",16,26.044444600000002,-111.66607250000001,1.352083,103.819836,"From Baja California Sur,Mexico to Singapore,Singapore"
"Baja California,Mexico","Anvers,Belgium",4,30.8406338,-115.28375849999999,51.2194475,4.402464299999999,"From Baja California,Mexico to Anvers,Belgium"
"Baja California,Mexico","Balboa,Panama",1,30.8406338,-115.28375849999999,8.9613962,-79.5631537,"From Baja California,Mexico to Balboa,Panama"
"Baja California,Mexico","Bremerhaven,Federal Republic of Germany",180,30.8406338,-115.28375849999999,53.5395845,8.580942499999999,"From Baja California,Mexico to Bremerhaven,Federal Republic of Germany"
"Baja California,Mexico","Caldera,Costa Rica",9,30.8406338,-115.28375849999999,9.940055300000001,-84.7276382,"From Baja California,Mexico to Caldera,Costa Rica"
"Baja California,Mexico","Cartagena ,Colombia",1,30.8406338,-115.28375849999999,10.3910485,-75.4794257,"From Baja California,Mexico to Cartagena ,Colombia"
"Baja California,Mexico","Genova,Italy",2,30.8406338,-115.28375849999999,44.4056499,8.946256,"From Baja California,Mexico to Genova,Italy"
"Baja California,Mexico","Gothenburg,Sweden",21,30.8406338,-115.28375849999999,57.70887,11.97456,"From Baja California,Mexico to Gothenburg,Sweden"
"Baja California,Mexico","Hong Kong,Hong Kong",80,30.8406338,-115.28375849999999,22.396428,114.10949699999999,"From Baja California,Mexico to Hong Kong,Hong Kong"
"Baja California,Mexico","Kaohsiung,China (Taiwan)",25,30.8406338,-115.28375849999999,22.627278399999998,120.3014353,"From Baja California,Mexico to Kaohsiung,China (Taiwan)"
"Baja California,Mexico","Kobe,Japan",318,30.8406338,-115.28375849999999,34.690083,135.1955112,"From Baja California,Mexico to Kobe,Japan"
"Baja California,Mexico","Kwangyang,South Korea",49,30.8406338,-115.28375849999999,34.9406968,127.6958882,"From Baja California,Mexico to Kwangyang,South Korea"
"Baja California,Mexico","Laem Chabang,Thailand",19,30.8406338,-115.28375849999999,13.1040552,100.9158073,"From Baja California,Mexico to Laem Chabang,Thailand"
"Baja California,Mexico","Nagoya Ko ,Japan",89,30.8406338,-115.28375849999999,35.091814500000005,136.8801169,"From Baja California,Mexico to Nagoya Ko ,Japan"
"Baja California,Mexico","Ningpo ,China (Mainland)",10,30.8406338,-115.28375849999999,29.85228889999999,121.53260690000002,"From Baja California,Mexico to Ningpo ,China (Mainland)"
"Baja California,Mexico","Port Swettenham,Malaysia",218,30.8406338,-115.28375849999999,2.999852,101.39283,"From Baja California,Mexico to Port Swettenham,Malaysia"
"Baja California,Mexico","Pusan,South Korea",90,30.8406338,-115.28375849999999,35.17955429999999,129.07564159999998,"From Baja California,Mexico to Pusan,South Korea"
"Baja California,Mexico","Rotterdam,Netherlands",85,30.8406338,-115.28375849999999,51.9244201,4.4777325999999995,"From Baja California,Mexico to Rotterdam,Netherlands"
"Baja California,Mexico","Shanghai ,China (Mainland)",222,30.8406338,-115.28375849999999,31.237137,121.487881,"From Baja California,Mexico to Shanghai ,China (Mainland)"
"Baja California,Mexico","Shilong,China (Taiwan)",24,30.8406338,-115.28375849999999,24.883394,118.929975,"From Baja California,Mexico to Shilong,China (Taiwan)"
"Baja California,Mexico","Singapore,Singapore",168,30.8406338,-115.28375849999999,1.352083,103.819836,"From Baja California,Mexico to Singapore,Singapore"
"Baja California,Mexico","Southhampton,United Kingdom",91,30.8406338,-115.28375849999999,50.90970040000001,-1.4043508999999998,"From Baja California,Mexico to Southhampton,United Kingdom"
"Baja California,Mexico","Stadersand,Federal Republic of Germany",36,30.8406338,-115.28375849999999,53.6203259,9.5293974,"From Baja California,Mexico to Stadersand,Federal Republic of Germany"
"Baja California,Mexico","Tauranga,New Zealand",1,30.8406338,-115.28375849999999,-37.68779749999999,176.1651295,"From Baja California,Mexico to Tauranga,New Zealand"
"Baja California,Mexico","Tokyo ,Japan",74,30.8406338,-115.28375849999999,35.6894875,139.69170640000002,"From Baja California,Mexico to Tokyo ,Japan"
"Baja California,Mexico","Tsingtao,China (Mainland)",11,30.8406338,-115.28375849999999,36.28214699999999,119.98196999999999,"From Baja California,Mexico to Tsingtao,China (Mainland)"
"Baja California,Mexico","Vung Tau,Vietnam",6,30.8406338,-115.28375849999999,10.4113797,107.136224,"From Baja California,Mexico to Vung Tau,Vietnam"
"Baja California,Mexico","Yantian,China (Mainland)",94,30.8406338,-115.28375849999999,,,"From Baja California,Mexico to Yantian,China (Mainland)"
"Baja California,Mexico","Yarraville,Australia",1,30.8406338,-115.28375849999999,-37.817,144.89,"From Baja California,Mexico to Yarraville,Australia"
"Balboa,Panama","Balboa,Panama",2,8.9613962,-79.5631537,8.9613962,-79.5631537,"From Balboa,Panama to Balboa,Panama"
"Balboa,Panama","Bremerhaven,Federal Republic of Germany",1,8.9613962,-79.5631537,53.5395845,8.580942499999999,"From Balboa,Panama to Bremerhaven,Federal Republic of Germany"
"Balboa,Panama","Cristobal,Panama",2,8.9613962,-79.5631537,9.350599,-79.901527,"From Balboa,Panama to Cristobal,Panama"
"Balboa,Panama","Guayaquil,Ecuador",1,8.9613962,-79.5631537,-2.1709979,-79.9223592,"From Balboa,Panama to Guayaquil,Ecuador"
"Balboa,Panama","Halifax, NS,Canada",1,8.9613962,-79.5631537,44.64876350000001,-63.5752387,"From Balboa,Panama to Halifax, NS,Canada"
"Balboa,Panama","Port Natal,South Africa",9,8.9613962,-79.5631537,-29.85868039999999,31.0218404,"From Balboa,Panama to Port Natal,South Africa"
"Balboa,Panama","Puerto Manzanillo,Panama",6,8.9613962,-79.5631537,9.3651477,-79.88115140000001,"From Balboa,Panama to Puerto Manzanillo,Panama"
"Balboa,Panama","Pusan,South Korea",1,8.9613962,-79.5631537,35.17955429999999,129.07564159999998,"From Balboa,Panama to Pusan,South Korea"
"Balboa,Panama","Shanghai ,China (Mainland)",51,8.9613962,-79.5631537,31.237137,121.487881,"From Balboa,Panama to Shanghai ,China (Mainland)"
"Balboa,Panama","Stadersand,Federal Republic of Germany",1,8.9613962,-79.5631537,53.6203259,9.5293974,"From Balboa,Panama to Stadersand,Federal Republic of Germany"
"Balboa,Panama","Tsingtao,China (Mainland)",3,8.9613962,-79.5631537,36.28214699999999,119.98196999999999,"From Balboa,Panama to Tsingtao,China (Mainland)"
"Balboa,Panama","Veracruz,Mexico",24,8.9613962,-79.5631537,19.173773,-96.1342241,"From Balboa,Panama to Veracruz,Mexico"
"Bangkok,Thailand","Panama Canal - Caribbean,Panama",3,13.7563309,100.5017651,9.1438034,-79.7285161,"From Bangkok,Thailand to Panama Canal - Caribbean,Panama"
"Bangkok,Thailand","Port Bustamante,Jamaica",3,13.7563309,100.5017651,17.9881695,-76.83894129999999,"From Bangkok,Thailand to Port Bustamante,Jamaica"
"Bangkok,Thailand","Singapore,Singapore",2,13.7563309,100.5017651,1.352083,103.819836,"From Bangkok,Thailand to Singapore,Singapore"
"Bangkok,Thailand","Yavaros,Mexico",6,13.7563309,100.5017651,26.704837400000002,-109.51555,"From Bangkok,Thailand to Yavaros,Mexico"
"Barcelona ,Spain","Tampico,Mexico",53,41.3850639,2.1734035,22.233104100000002,-97.861099,"From Barcelona ,Spain to Tampico,Mexico"
"Barcelona ,Spain","Veracruz,Mexico",112,41.3850639,2.1734035,19.173773,-96.1342241,"From Barcelona ,Spain to Veracruz,Mexico"
"Barcelona ,Spain ","Barcelona ,Spain ",1,41.3850639,2.1734035,41.3850639,2.1734035,"From Barcelona ,Spain  to Barcelona ,Spain "
"Barcelona ,Spain ","Puerto Manzanillo,Panama",1,41.3850639,2.1734035,9.3651477,-79.88115140000001,"From Barcelona ,Spain  to Puerto Manzanillo,Panama"
"Barcelona ,Spain ","Tampico,Mexico",1,41.3850639,2.1734035,22.233104100000002,-97.861099,"From Barcelona ,Spain  to Tampico,Mexico"
"Barletta,Italy","Civitavecchia,Italy",2,41.319663500000004,16.2838207,42.0924239,11.7954132,"From Barletta,Italy to Civitavecchia,Italy"
"Bassens,France","Anvers,Belgium",1,44.899834999999996,-0.516238,51.2194475,4.402464299999999,"From Bassens,France to Anvers,Belgium"
"Basseterre, St. Kitts,St. Kitts & Nevis","Halifax, NS,Canada",1,17.302605800000002,-62.7176924,44.64876350000001,-63.5752387,"From Basseterre, St. Kitts,St. Kitts & Nevis to Halifax, NS,Canada"
"Basseterre, St. Kitts,St. Kitts & Nevis","Port Bustamante,Jamaica",2,17.302605800000002,-62.7176924,17.9881695,-76.83894129999999,"From Basseterre, St. Kitts,St. Kitts & Nevis to Port Bustamante,Jamaica"
"Basseterre, St. Kitts,St. Kitts & Nevis","Saint John, NB,Canada",36,17.302605800000002,-62.7176924,45.2733153,-66.06330799999999,"From Basseterre, St. Kitts,St. Kitts & Nevis to Saint John, NB,Canada"
"Bathurst,Gambia","Algeciras,Spain",1,13.4548761,-16.5790323,36.140759100000004,-5.456233,"From Bathurst,Gambia to Algeciras,Spain"
"Belize,Belize","Zeebrugge,Belgium",8,17.5045661,-88.1962133,51.3189468,3.2068507,"From Belize,Belize to Zeebrugge,Belgium"
"Beyrouth,Lebanon","Mina Dumyat,Egypt",2,33.8937913,35.50177670000001,31.405874199999996,31.809753399999998,"From Beyrouth,Lebanon to Mina Dumyat,Egypt"
"Beyrouth,Lebanon","Veracruz,Mexico",1,33.8937913,35.50177670000001,19.173773,-96.1342241,"From Beyrouth,Lebanon to Veracruz,Mexico"
"Bilbao,Spain ","Callao,Peru",3,43.263012599999996,-2.9349852000000003,-12.050849099999999,-77.1259843,"From Bilbao,Spain  to Callao,Peru"
Brazil,Brazil,8,-14.235004,-51.92528,-14.235004,-51.92528,From Brazil to Brazil
Brazil,"Halifax, NS,Canada",1,-14.235004,-51.92528,44.64876350000001,-63.5752387,"From Brazil to Halifax, NS,Canada"
"Bremen,Federal Republic of Germany","Bremerhaven,Federal Republic of Germany",3,53.07929619999999,8.8016936,53.5395845,8.580942499999999,"From Bremen,Federal Republic of Germany to Bremerhaven,Federal Republic of Germany"
"Bremen,Federal Republic of Germany","Stadersand,Federal Republic of Germany",8,53.07929619999999,8.8016936,53.6203259,9.5293974,"From Bremen,Federal Republic of Germany to Stadersand,Federal Republic of Germany"
"Bremerhaven,Federal Republic of Germany","Adelaide,Australia",3,53.5395845,8.580942499999999,-34.9284989,138.6007456,"From Bremerhaven,Federal Republic of Germany to Adelaide,Australia"
"Bremerhaven,Federal Republic of Germany","Anvers,Belgium",1,53.5395845,8.580942499999999,51.2194475,4.402464299999999,"From Bremerhaven,Federal Republic of Germany to Anvers,Belgium"
"Bremerhaven,Federal Republic of Germany","Bremerhaven,Federal Republic of Germany",89,53.5395845,8.580942499999999,53.5395845,8.580942499999999,"From Bremerhaven,Federal Republic of Germany to Bremerhaven,Federal Republic of Germany"
"Bremerhaven,Federal Republic of Germany","Buenaventura,Colombia",1,53.5395845,8.580942499999999,3.8830470999999998,-77.01972119999998,"From Bremerhaven,Federal Republic of Germany to Buenaventura,Colombia"
"Bremerhaven,Federal Republic of Germany","Callao,Peru",29,53.5395845,8.580942499999999,-12.050849099999999,-77.1259843,"From Bremerhaven,Federal Republic of Germany to Callao,Peru"
"Bremerhaven,Federal Republic of Germany","Felixstowe ,United Kingdom",1,53.5395845,8.580942499999999,51.961726,1.3512549999999999,"From Bremerhaven,Federal Republic of Germany to Felixstowe ,United Kingdom"
"Bremerhaven,Federal Republic of Germany","Fremantle,Australia",2,53.5395845,8.580942499999999,-32.0569,115.7439,"From Bremerhaven,Federal Republic of Germany to Fremantle,Australia"
"Bremerhaven,Federal Republic of Germany","Gothenburg,Sweden",6,53.5395845,8.580942499999999,57.70887,11.97456,"From Bremerhaven,Federal Republic of Germany to Gothenburg,Sweden"
"Bremerhaven,Federal Republic of Germany","Halifax, NS,Canada",1,53.5395845,8.580942499999999,44.64876350000001,-63.5752387,"From Bremerhaven,Federal Republic of Germany to Halifax, NS,Canada"
"Bremerhaven,Federal Republic of Germany","Kobe,Japan",65,53.5395845,8.580942499999999,34.690083,135.1955112,"From Bremerhaven,Federal Republic of Germany to Kobe,Japan"
"Bremerhaven,Federal Republic of Germany","Le Havre,France",1,53.5395845,8.580942499999999,49.49437,0.107929,"From Bremerhaven,Federal Republic of Germany to Le Havre,France"
"Bremerhaven,Federal Republic of Germany","Nagoya Ko ,Japan",1,53.5395845,8.580942499999999,35.091814500000005,136.8801169,"From Bremerhaven,Federal Republic of Germany to Nagoya Ko ,Japan"
"Bremerhaven,Federal Republic of Germany","Panama Canal  Caribbean,Panama",2,53.5395845,8.580942499999999,,,"From Bremerhaven,Federal Republic of Germany to Panama Canal  Caribbean,Panama"
"Bremerhaven,Federal Republic of Germany","Rotterdam,Netherlands",11,53.5395845,8.580942499999999,51.9244201,4.4777325999999995,"From Bremerhaven,Federal Republic of Germany to Rotterdam,Netherlands"
"Bremerhaven,Federal Republic of Germany","Salalah,Oman",1,53.5395845,8.580942499999999,17.0506675,54.1065864,"From Bremerhaven,Federal Republic of Germany to Salalah,Oman"
"Bremerhaven,Federal Republic of Germany","Santo Tomas de Castilla,Guatemala",2,53.5395845,8.580942499999999,15.690179999999998,-88.620407,"From Bremerhaven,Federal Republic of Germany to Santo Tomas de Castilla,Guatemala"
"Bremerhaven,Federal Republic of Germany","Singapore,Singapore",5,53.5395845,8.580942499999999,1.352083,103.819836,"From Bremerhaven,Federal Republic of Germany to Singapore,Singapore"
"Bremerhaven,Federal Republic of Germany","Tampico,Mexico",3,53.5395845,8.580942499999999,22.233104100000002,-97.861099,"From Bremerhaven,Federal Republic of Germany to Tampico,Mexico"
"Bremerhaven,Federal Republic of Germany","Tanjung Pelepas,Malaysia",2,53.5395845,8.580942499999999,1.3621673,103.5533946,"From Bremerhaven,Federal Republic of Germany to Tanjung Pelepas,Malaysia"
"Bremerhaven,Federal Republic of Germany","Valparaiso,Chile",3,53.5395845,8.580942499999999,-33.047238,-71.61268849999998,"From Bremerhaven,Federal Republic of Germany to Valparaiso,Chile"
